University ,Average Rank,Score YoY,Expected Variation,Signficant Change,Teaching YoY,Research YoY,Citations,Industry Income,International Outlook
University of MelbourneAustralia , -1 , -0.2 , 5.2 , No , -0.4 , 2.1 , -2.6 , 3.2 , -0.4
Australian National UniversityAustralia , -7 , -1.0 , 8.2 , No , 1.5 , 1.5 , -6.0 , -2.2 , -0.5
University of SydneyAustralia , 3 , 1.0 , 8.9 , No , 1.3 , 3.6 , -2.0 , 7.1 , -0.3
The University of QueenslandAustraliaExplore , 3 , 1.1 , 9.5 , No , 0.9 , 4.5 , -1.5 , -4.2 , -0.2
Monash UniversityAustralia , 13 , 3.7 , 10.5 , Yes , 2.6 , 7.0 , 2.7 , -0.8 , 0.0
UNSW SydneyAustraliaExplore , -1 , 0.1 , 11.7 , No , 0.7 , -1.4 , 1.8 , -9.2 , -0.1
The University of Western AustraliaAustralia , 3 , 0.8 , 19.4 , No , 0.5 , 4.5 , -2.4 , 4.2 , -1.1
University of AdelaideAustralia , 23 , 3.5 , 18.4 , Yes , 7.1 , 6.6 , -2.1 , -0.2 , -0.1
University of Technology SydneyAustraliaExplore , 10 , 1.5 , 26.6 , Yes , 0.4 , -1.6 , 6.8 , -5.3 , -1.2
Queensland University of TechnologyAustraliaExplore , -14 , -0.3 , 30.6 , No , -3.0 , 3.0 , -0.8 , 0.1 , -0.7
University of NewcastleAustralia , 21 , 1.7 , 41.5 , No , 2.9 , 2.6 , 0.4 , 0.5 , -1.3
Macquarie UniversityAustraliaExplore , 17 , 1.8 , 32.6 , Yes , -0.3 , 1.3 , 4.7 , 1.6 , 0.3
Charles Darwin UniversityAustralia , 157 , 5.8 , 67.8 , No , -0.3 , 3.2 , 16.5 , -0.9 , 0.4
University of WollongongAustraliaExplore , -16 , -0.4 , 36.5 , No , 0.6 , 0.6 , -2.5 , 1.4 , -0.7
James Cook UniversityAustralia , -92 , -3.2 , 39.6 , No , -2.1 , -1.7 , -10.6 , -2.1 , 15.1
Griffith UniversityAustraliaExplore , -44 , -1.1 , 39.1 , No , -0.4 , 0.5 , -4.0 , 2.2 , 0.4
University of South AustraliaAustralia , -18 , 0.2 , 42.7 , No , -0.5 , -0.5 , 2.3 , -4.8 , -0.9
Deakin UniversityAustralia , 1 , 0.9 , 46.3 , No , -1.5 , 0.7 , 3.9 , 1.8 , -0.5
University of TasmaniaAustralia , 5 , 1.0 , 50.2 , No , -0.5 , 2.5 , 1.2 , 1.1 , -0.2
Victoria UniversityAustralia , -99 , -1.6 , 56.9 , No , -1.5 , -1.9 , 0.2 , 0.6 , -8.7
La Trobe UniversityAustralia , -47 , -1.7 , 44.8 , Yes , -1.7 , -1.1 , -3.1 , 5.1 , -1.4
Swinburne University of TechnologyAustralia , 39 , 2.2 , 56.1 , No , 0.4 , 1.8 , 5.1 , 3.0 , -0.3
Flinders UniversityAustraliaExplore , -38 , -1.0 , 44.5 , No , 1.8 , 2.1 , -7.5 , 2.3 , -0.1
Murdoch UniversityAustraliaExplore , 109 , 4.1 , 68.2 , No , 0.7 , 0.6 , 12.1 , 0.5 , 0.6
Curtin UniversityAustraliaExplore , 4 , 0.9 , 45.6 , Yes , 1.3 , 0.9 , 0.5 , 5.0 , -0.3
Western Sydney UniversityAustralia , -12 , -0.0 , 47.2 , Yes , -0.4 , 1.2 , -1.1 , 1.7 , 0.0
RMIT UniversityAustralia , 12 , 1.3 , 57.1 , Yes , 1.8 , 0.6 , 2.0 , 1.6 , -0.3
Central Queensland UniversityAustraliaExplore , 177 , 6.3 , 97.8 , No , 2.3 , 4.2 , 14.5 , 2.4 , -1.4
University of CanberraAustralia , -84 , -4.9 , 40.6 , Yes , -7.9 , -1.8 , -6.0 , -1.2 , -1.7
Southern Cross UniversityAustralia , -27 , 0.7 , 89.5 , No , -1.0 , 1.9 , -1.1 , 3.0 , 9.3
Edith Cowan UniversityAustraliaExplore , 53 , 2.8 , 70.8 , No , 0.9 , 0.9 , 7.2 , 1.9 , 0.9
Bond UniversityAustralia , 290 , 11.1 , 74.9 , Yes , 0.0 , 1.3 , 37.5 , 1.9 , -7.3
University of the Sunshine CoastAustraliaExplore , -102 , -1.2 , 97.6 , No , -2.7 , -0.6 , -0.3 , -0.3 , -1.4
Australian Catholic UniversityAustralia , -22 , -0.1 , 60.3 , Yes , -1.2 , -1.6 , 2.4 , 1.8 , -0.3
University of Southern QueenslandAustralia , 98 , 4.5 , 85.5 , Yes , 2.9 , 0.5 , 11.3 , 2.6 , 0.5
Federation University AustraliaAustraliaExplore , 178 , 6.6 , 110.0 , No , 1.0 , 1.0 , 19.3 , 1.6 , 2.4
Charles Sturt UniversityAustralia , -216 , -3.1 , 143.6 , No , 0.9 , -0.9 , -9.2 , 1.8 , -5.3


